ward,gender,age,education,monthly_income,household_size,family_head,value_chain,vc_experience,project_skepticism,adequate_consultation,project_acceptance,satisfactory_training,project_success_optimism,project_benefits,sustainable_skills,sustainable_technology,project_understanding,vc_understanding,vc_agriculture_practices_awareness,vc_technology_awareness,vc_product_marketing_understanding,practice_mixed_farming,practice_large_scale_farming,use_extension_services,use_credit_farming,full_time_farming,acreage_before,acreage_after,acreage_change,yield_before,yield_after,yield_change,price_before,price_after,price_change,annual_income_before,annual_income_after,annual_income_change,jobs_created_before,jobs_created_after,jobs_created_change,trained_certified_seed,adopted_certified_seed,trained_improved_varieties,adopted_improved_varieties,trained_pest_management,adopted_pest_management,trained_agronomic_practices,adopted_agronomic_practices,trained_soil_fertility,adopted_soil_fertility,trained_soil_moisture,adopted_soil_moisture,trained_post_harvest,adopted_post_harvest,trained_value_addition,adopted_value_addition,trees_per_acre_before,trees_per_acre_after,trees_per_acre_change,total_trees_before,total_trees_after,total_trees_change,production_per_tree_before,production_per_tree_after,production_per_tree_change,average_flock_size_before,average_flock_size_after,average_flock_size_change,annual_production_cycles_before,annual_production_cycles_after,annual_production_cycles_change,trained_poultry_housing,adopted_poultry_housing,trained_feeds_production,adopted_feeds_production,trained_feeds_management,adopted_feeds_management,trained_hatchery_management,adopted_hatchery_management,trained_vaccination,adopted_vaccination,trained_hygiene_management,adopted_hygiene_management,enterprise_profitability_increase,farm_productivity_increase,timely_implementation,new_income_streams,job_creation_increase,project_inclusivity
Tulimani,Female,77.0,Primary,5000,4.0,Yes,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,5.0,20.0,15.0,6000.0,40000.0,34000.0,1.0,1.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,30.0,30.0,0.0,30.0,30.0,0.0,100.0,20.0,-80.0,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Tulimani,Female,60.0,Degree,20000,3.0,No,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,,,,,,,5.0,20.0,15.0,22.0,55.0,33.0,2.0,2.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,120.0,170.0,50.0,120.0,170.0,50.0,200.0,500.0,300.0,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Tulimani,Female,68.0,Primary,2000,4.0,No,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,5.0,20.0,15.0,1000.0,10000.0,9000.0,1.0,1.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,10.0,30.0,20.0,10.0,30.0,20.0,100.0,500.0,400.0,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Tulimani,Female,64.0,Primary,4000,5.0,Yes,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,5.0,20.0,15.0,6000.0,100000.0,94000.0,1.0,2.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,20.0,30.0,10.0,20.0,30.0,10.0,300.0,500.0,200.0,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Female,35.0,Primary,3000,3.0,Yes,Mango,4,2,4,4,4,4,4,4,4,5,4,5,4,4,5,2,5,2,5,,,,,,,20.0,20.0,0.0,1000.0,2500.0,1500.0,0.0,1.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,6.0,35.0,29.0,6.0,35.0,29.0,50.0,90.0,40.0,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Mtito Andei,Female,68.0,Primary,6000,4.0,Yes,Mango,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,2,4,,,,,,,15.0,20.0,5.0,3500.0,7000.0,3500.0,0.0,0.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,6.0,35.0,29.0,6.0,35.0,29.0,70.0,100.0,30.0,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Mtito Andei,Female,40.0,Secondary,8000,3.0,No,Mango,5,2,5,5,5,5,5,4,4,5,4,4,4,4,4,2,4,2,4,,,,,,,10.0,20.0,10.0,1500.0,3800.0,2300.0,0.0,1.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,8.0,64.0,56.0,8.0,64.0,56.0,50.0,120.0,70.0,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Mtito Andei,Male,39.0,Secondary,10000,4.0,Yes,Mango,6,3,5,4,5,5,5,4,4,4,4,4,4,4,4,2,4,2,4,,,,,,,10.0,20.0,10.0,0.0,3000.0,3000.0,0.0,1.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,No,0.0,50.0,50.0,0.0,50.0,50.0,0.0,30.0,30.0,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Mtito Andei,Male,48.0,Secondary,15000,4.0,Yes,Mango,6,2,4,5,5,5,5,4,4,5,4,4,4,4,4,2,4,2,3,,,,,,,10.0,20.0,10.0,0.0,4600.0,4600.0,0.0,1.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,No,0.0,40.0,40.0,0.0,40.0,40.0,0.0,70.0,70.0,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Mtito Andei,Male,46.0,Secondary,15000,4.0,Yes,Mango,12,3,4,4,5,5,5,4,4,4,4,4,4,4,4,2,4,2,3,,,,,,,10.0,20.0,10.0,800.0,4500.0,3700.0,0.0,1.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,No,5.0,57.0,52.0,5.0,57.0,52.0,50.0,80.0,30.0,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Waia/Kako,Female,37.0,Secondary,30000,4.0,Yes,Mango,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,,,,,,,12.0,30.0,18.0,1000.0,20000.0,19000.0,0.0,1.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,2.0,20.0,18.0,2.0,50.0,48.0,15.0,100.0,85.0,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Waia/Kako,Female,60.0,Secondary,32000,4.0,Yes,Mango,4,4,4,3,4,4,4,4,4,4,4,4,5,4,5,2,4,4,4,,,,,,,15.0,30.0,15.0,1000.0,25000.0,24000.0,0.0,1.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,3.0,20.0,17.0,3.0,50.0,47.0,20.0,100.0,80.0,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Waia/Kako,Female,50.0,Primary,28000,4.0,Yes,Mango,4,5,4,4,5,4,4,5,4,4,5,4,4,4,4,2,4,4,2,,,,,,,20.0,30.0,10.0,15000.0,30000.0,15000.0,0.0,1.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,20.0,40.0,20.0,25.0,75.0,50.0,100.0,200.0,100.0,,,,,,,,,,,,,,,,,,,4,4,4,5,5,4
Waia/Kako,Female,42.0,Secondary,35000,3.0,Yes,Mango,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,,,,,,,10.0,20.0,10.0,1500.0,15000.0,13500.0,0.0,1.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,5.0,10.0,5.0,5.0,20.0,15.0,20.0,70.0,50.0,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Waia/Kako,Female,67.0,Secondary,40000,4.0,Yes,Mango,4,5,4,4,5,5,5,5,5,4,5,5,5,4,5,5,4,5,2,,,,,,,20.0,35.0,15.0,10000.0,25000.0,15000.0,0.0,1.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,20.0,45.0,25.0,20.0,95.0,75.0,100.0,270.0,170.0,,,,,,,,,,,,,,,,,,,5,5,4,4,4,4
Waia/Kako,Female,55.0,Secondary,27000,4.0,Yes,Mango,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,,,,,,,20.0,30.0,10.0,2000.0,10000.0,8000.0,0.0,1.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,5.0,38.0,33.0,5.0,38.0,33.0,50.0,200.0,150.0,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Waia/Kako,Male,40.0,Certificate,40000,4.0,Yes,Mango,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,2,4,4,2,,,,,,,20.0,30.0,10.0,3000.0,15000.0,12000.0,0.0,1.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,10.0,40.0,30.0,10.0,40.0,30.0,90.0,150.0,60.0,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Waia/Kako,Male,37.0,Secondary,30000,4.0,Yes,Mango,4,5,4,4,5,5,5,5,5,5,4,5,5,5,5,2,4,4,2,,,,,,,20.0,30.0,10.0,20000.0,40000.0,20000.0,1.0,1.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,40.0,45.0,5.0,50.0,100.0,50.0,100.0,250.0,150.0,,,,,,,,,,,,,,,,,,,5,4,4,4,4,4
Waia/Kako,Male,52.0,Secondary,35000,3.0,Yes,Mango,4,4,5,5,5,4,4,4,5,5,5,5,5,5,4,2,4,4,2,,,,,,,20.0,30.0,10.0,2000.0,8000.0,6000.0,0.0,1.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,5.0,20.0,15.0,5.0,20.0,15.0,50.0,150.0,100.0,,,,,,,,,,,,,,,,,,,5,4,4,4,4,4
Thange,Male,70.0,Primary,500,5.0,Yes,Green gram,25,4,4,4,4,4,4,4,4,4,5,4,3,4,4,2,4,4,5,1.0,3.0,2.0,90.0,135.0,45.0,50.0,100.0,50.0,4500.0,27000.0,22500.0,1.0,5.0,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,4,4,4
Thange,Female,60.0,Primary,1000,5.0,No,Green gram,3,4,4,4,4,4,4,4,3,5,5,4,4,4,4,4,4,4,5,5.0,2.0,-3.0,40.0,360.0,320.0,30.0,100.0,70.0,24000.0,72000.0,48000.0,6.0,2.0,-4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,5,4,4
Thange,Male,63.0,Secondary,3000,1.0,Yes,Green gram,20,4,4,4,4,4,4,4,3,2,4,4,3,4,4,2,4,4,4,2.0,1.0,-1.0,40.0,180.0,140.0,30.0,100.0,70.0,2400.0,18000.0,15600.0,2.0,2.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,4,4,4
Thange,Male,70.0,Secondary,12000,4.0,Yes,Green gram,7,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,3,3,5,1.0,4.0,3.0,50.0,400.0,350.0,0.0,120.0,120.0,0.0,180000.0,180000.0,1.0,2.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,4,4,4
Thange,Female,43.0,Secondary,1000,3.0,Yes,Green gram,5,4,4,3,4,3,5,3,3,3,5,4,3,4,4,2,3,3,4,0.0,2.0,2.0,0.0,70.0,70.0,0.0,80.0,80.0,0.0,11200.0,11200.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,4,4,5
Thange,Male,54.0,Primary,500,2.0,Yes,Green gram,18,4,4,4,4,4,4,4,3,4,4,4,3,4,4,2,4,4,5,3.0,1.0,-2.0,100.0,200.0,100.0,50.0,120.0,70.0,15000.0,24000.0,9000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,4,4,4
Thange,Female,53.0,Primary,15000,2.0,Yes,Green gram,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,5,1.0,2.0,1.0,100.0,300.0,200.0,80.0,150.0,70.0,8000.0,48000.0,40000.0,6.0,3.0,-3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Thange,Female,54.0,Primary,1000,1.0,Yes,Green gram,3,4,4,4,4,4,5,4,5,3,4,4,4,4,4,2,4,4,5,1.0,3.0,2.0,100.0,300.0,200.0,30.0,100.0,70.0,3000.0,90000.0,87000.0,3.0,5.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,4,4,4
Thange,Male,54.0,Primary,10000,4.0,Yes,Green gram,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,2,4,4,5,1.0,2.0,1.0,70.0,400.0,330.0,40.0,120.0,80.0,2000.0,80000.0,78000.0,3.0,4.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,4,4,5
Thange,Female,38.0,Primary,10000,2.0,Yes,Green gram,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,1.0,3.0,2.0,100.0,200.0,100.0,100.0,150.0,50.0,9000.0,60000.0,51000.0,2.0,6.0,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,5
Thange,Female,43.0,Secondary,5000,4.0,No,Green gram,10,4,4,4,4,4,5,3,4,4,4,4,4,4,4,2,4,3,2,1.0,10.0,9.0,50.0,900.0,850.0,60.0,120.0,60.0,2000.0,70000.0,68000.0,1.0,6.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,5
Thange,Male,56.0,Primary,5000,4.0,Yes,Green gram,2,4,4,4,4,5,5,4,4,5,4,5,4,4,5,2,4,4,2,1.0,2.0,1.0,250.0,350.0,100.0,70.0,100.0,30.0,50000.0,60000.0,10000.0,2.0,2.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,5
Thange,Female,42.0,Primary,6000,3.0,No,Green gram,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,1.0,1.0,0.0,135.0,50.0,-85.0,50.0,100.0,50.0,5000.0,4000.0,-1000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,2,4,5
Thange,Female,48.0,Primary,1000,5.0,No,Green gram,10,4,4,4,4,4,4,4,4,3,4,4,3,4,4,2,4,4,4,1.0,1.0,0.0,10.0,70.0,60.0,0.0,80.0,80.0,0.0,4000.0,4000.0,1.0,1.0,0.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Thange,Female,66.0,Primary,500,5.0,No,Green gram,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,2.0,2.0,0.0,80.0,90.0,10.0,40.0,70.0,30.0,6000.0,9000.0,3000.0,3.0,2.0,-1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Thange,Male,64.0,Primary,10000,3.0,Yes,Green gram,8,4,4,4,4,4,4,4,4,4,4,5,4,5,4,3,4,4,4,1.0,1.0,0.0,25.0,70.0,45.0,0.0,100.0,100.0,0.0,5000.0,5000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Thange,Female,55.0,Primary,1000,4.0,Yes,Green gram,9,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,1.0,2.0,1.0,10.0,40.0,30.0,0.0,80.0,80.0,0.0,5000.0,5000.0,2.0,3.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,4,4,4
Thange,Female,55.0,Primary,0,5.0,Yes,Green gram,5,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,1.0,2.0,1.0,90.0,100.0,10.0,70.0,80.0,10.0,4500.0,12000.0,7500.0,5.0,5.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Thange,Female,60.0,Primary,500,5.0,Yes,Green gram,10,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,0.0,1.0,1.0,0.0,120.0,120.0,0.0,50.0,50.0,0.0,0.0,0.0,5000.0,1.0,-4999.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,4,4
Thange,Female,59.0,Primary,500,1.0,Yes,Green gram,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,2.0,3.0,1.0,100.0,250.0,150.0,40.0,90.0,50.0,5000.0,6000.0,1000.0,2.0,4.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,4,4,4
Thange,Male,60.0,Secondary,1500,4.0,Yes,Green gram,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.0,1.0,1.0,50.0,0.0,-50.0,0.0,65.0,65.0,0.0,2500.0,2500.0,0.0,5.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,4
Waia/Kako,Male,32.0,Degree,10000,3.0,Yes,Green gram,2,5,5,5,5,5,5,5,4,4,4,4,4,5,4,4,5,4,4,2.0,5.0,3.0,100.0,120.0,20.0,90.0,110.0,20.0,120.0,150.0,30.0,0.0,0.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,4,4
Mtito Andei,Female,45.0,Secondary,4000,5.0,No,Green gram,7,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,1.0,2.0,1.0,100.0,300.0,200.0,45.0,70.0,25.0,10000.0,30000.0,20000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Female,38.0,Secondary,3000,4.0,No,Green gram,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,2.0,1.0,100.0,300.0,200.0,50.0,80.0,30.0,5000.0,24000.0,19000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Male,26.0,Secondary,3500,3.0,No,Green gram,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,2.0,1.0,120.0,450.0,330.0,50.0,80.0,30.0,6000.0,36000.0,30000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Male,52.0,Secondary,4000,5.0,Yes,Green gram,8,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,3.0,2.0,130.0,500.0,370.0,45.0,80.0,35.0,58500.0,80000.0,21500.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Female,34.0,Secondary,4000,4.0,No,Green gram,6,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1.0,2.0,1.0,100.0,250.0,150.0,40.0,70.0,30.0,4000.0,17500.0,13500.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Male,48.0,Secondary,3500,5.0,Yes,Green gram,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2.0,3.0,1.0,300.0,500.0,200.0,50.0,70.0,20.0,15000.0,35000.0,20000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Male,24.0,Primary,3000,5.0,No,Green gram,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,2.0,1.0,120.0,400.0,280.0,50.0,70.0,20.0,6000.0,28000.0,22000.0,0.0,0.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Male,26.0,Secondary,4000,5.0,No,Green gram,7,5,5,5,4,5,5,4,5,3,5,5,5,5,5,5,5,5,5,1.0,2.0,1.0,200.0,450.0,250.0,50.0,80.0,30.0,10000.0,36000.0,26000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Female,27.0,Secondary,4000,5.0,No,Green gram,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,2.0,1.0,300.0,600.0,300.0,45.0,70.0,25.0,13500.0,42000.0,28500.0,0.0,0.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Male,23.0,Secondary,4000,4.0,No,Green gram,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1.0,2.0,1.0,150.0,500.0,350.0,45.0,80.0,35.0,6750.0,32000.0,25250.0,0.0,0.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Male,32.0,Secondary,3000,5.0,No,Green gram,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2.0,3.0,1.0,100.0,200.0,100.0,50.0,90.0,40.0,10000.0,30000.0,20000.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,4,4,5
Mtito Andei,Male,32.0,Secondary,2500,5.0,No,Green gram,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,2.0,1.0,150.0,350.0,200.0,45.0,80.0,35.0,13500.0,42000.0,28500.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Female,65.0,Secondary,15000,5.0,No,Green gram,10,2,4,4,4,4,5,4,4,5,4,4,4,4,4,2,4,2,4,3.0,6.0,3.0,120.0,180.0,60.0,60.0,120.0,60.0,25000.0,95000.0,70000.0,3.0,6.0,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Mtito Andei,Female,35.0,Secondary,10000,1.0,Yes,Green gram,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,3,1.0,3.0,2.0,120.0,160.0,40.0,50.0,100.0,50.0,5200.0,40000.0,34800.0,0.0,2.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Mtito Andei,Female,48.0,Secondary,12000,5.0,No,Green gram,10,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,2.0,6.0,4.0,110.0,160.0,50.0,60.0,120.0,60.0,12800.0,79300.0,66500.0,1.0,3.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
